defcount,addr_state,ERcount,Schcount,Curcount,DTI,income,shortcount,longcount,Period,ER_rate,Def_rate,termRatio
189,VA,577,149,5564,17.421896509641172,80301.97628752746,2876,1221,2013-01-01,0.0890569532335237,0.02917116839018367,0.424547983310153
35,RI,76,19,769,16.842018018018035,69980.4347027027,406,149,2013-01-01,0.08453837597330367,0.0389321468298109,0.3669950738916256
53,KY,165,23,1647,18.667228041901705,65327.22171635778,873,368,2013-01-01,0.08739406779661017,0.028072033898305086,0.4215349369988545
12,WY,29,12,452,19.33396396396397,68906.62396396397,226,107,2013-01-01,0.05742574257425743,0.023762376237623763,0.47345132743362833
24,NH,95,16,847,18.034578125,73161.431171875,473,167,2013-01-01,0.09674134419551934,0.024439918533604887,0.35306553911205074
147,MI,353,57,4358,17.989416167664647,67748.2998023952,2463,877,2013-01-01,0.07182095625635809,0.029908443540183113,0.3560698335363378
128,NV,222,26,2638,17.63056145675265,68649.60148710167,1563,414,2013-01-01,0.07365627073656271,0.042468480424684804,0.2648752399232246
81,WI,197,46,2225,17.75693357058126,64089.37248517202,1225,461,2013-01-01,0.07728520988622989,0.031777167516673206,0.3763265306122449
1111,CA,3213,624,29497,15.917638125407677,76585.76705208234,16929,4537,2013-01-01,0.09327914065902163,0.032254318478734216,0.2680016539665662
99,CT,298,71,2839,16.17942241801275,80779.0516886931,1492,551,2013-01-01,0.09011188388267312,0.029936498336861204,0.3693029490616622
16,MT,58,7,533,18.443218673218666,60035.4611056511,309,98,2013-01-01,0.09446254071661238,0.026058631921824105,0.31715210355987056
201,NC,521,13,5118,17.785700470465258,69221.40015943543,2701,1125,2013-01-01,0.08901418076200239,0.03434136340338288,0.41651240281377266
12,VT,34,6,284,18.821942857142854,63145.08,135,40,2013-01-01,0.10119047619047619,0.03571428571428571,0.2962962962962963
140,MD,388,91,4217,16.994611916264102,81957.71746859903,2175,930,2013-01-01,0.08023159636062861,0.028949545078577336,0.42758620689655175
15,DE,40,12,467,17.133342696629217,77561.53480337079,251,105,2013-01-01,0.0749063670411985,0.028089887640449437,0.41832669322709165
100,MO,259,52,2918,18.66608901515153,66474.04518465909,1564,548,2013-01-01,0.07780114148392911,0.030039050765995796,0.35038363171355497
221,IL,590,153,7249,16.864154956323578,74608.33566654008,3933,1333,2013-01-01,0.07183733106051382,0.026908559600633142,0.33892702771421307
171,WA,416,64,4300,17.242918062747556,72214.10503502893,2461,822,2013-01-01,0.08402342961017976,0.03453847707533832,0.3340105648110524
88,AL,207,46,2251,19.208394160583918,66601.27714111924,1149,495,2013-01-01,0.0798611111111111,0.033950617283950615,0.4308093994778068
189,OH,479,114,5822,18.258808099401772,66295.09586746435,3132,1214,2013-01-01,0.07253179890975167,0.02861901877649909,0.3876117496807152
44,NM,80,24,974,18.03755405405404,70510.5150945946,546,194,2013-01-01,0.07130124777183601,0.0392156862745098,0.3553113553113553
220,PA,555,170,6251,17.922407045009816,70376.73529245489,3283,1316,2013-01-01,0.07712618121178433,0.030572540300166758,0.40085287846481876
13,SD,38,2,391,19.30006968641115,58857.92202090591,218,69,2013-01-01,0.08558558558558559,0.02927927927927928,0.3165137614678899
638,NY,1496,376,15740,15.689989238633364,75703.67665949241,8515,2636,2013-01-01,0.08197260273972602,0.03495890410958904,0.3095713446858485
421,TX,1278,252,14048,18.296282549553048,78030.96127186166,7622,2670,2013-01-01,0.07987999249953122,0.026314144634039627,0.35030175806874836
20,WV,83,19,899,19.181517341040454,67558.63046242775,467,225,2013-01-01,0.08129285014691479,0.019588638589618023,0.4817987152034261
182,GA,519,122,5783,17.79124881964117,73692.84768177528,3105,1131,2013-01-01,0.07856494096276112,0.027550711474417195,0.3642512077294686
154,MA,461,149,4365,16.319082810953496,79166.04674364896,2203,828,2013-01-01,0.08988106843439267,0.03002534607135894,0.3758511121198366
40,KS,145,4,1745,18.088586956521738,68491.44298913043,952,336,2013-01-01,0.0749741468459152,0.020682523267838676,0.35294117647058826
112,CO,356,72,3821,17.4684044715447,72726.42793021683,2188,764,2013-01-01,0.08163265306122448,0.025682182985553772,0.3491773308957952
559,FL,1168,260,12380,17.50129472852467,68396.2620905294,6859,2000,2013-01-01,0.08129741769332498,0.038908610009048515,0.291587694999271
14,AK,58,2,538,17.940179948586117,74354.73938303342,295,94,2013-01-01,0.09477124183006536,0.02287581699346405,0.31864406779661014
50,AR,115,20,1378,19.283947895791588,64711.69376753507,748,250,2013-01-01,0.07357645553422905,0.03198976327575176,0.3342245989304813
62,OK,130,19,1622,18.99702986279257,68284.27946731236,917,322,2013-01-01,0.07092198581560284,0.03382433169667212,0.3511450381679389
41,UT,158,10,1383,17.775150136487703,71226.87911737945,793,306,2013-01-01,0.0992462311557789,0.025753768844221106,0.3858764186633039
44,HI,101,11,1045,18.630768261964736,68120.47870277078,587,207,2013-01-01,0.08409658617818484,0.03663613655287261,0.3526405451448041
342,AZ,1144,105,7946,17.90551479934627,72243.32305974215,3889,1618,2014-01-01,0.11995386389850057,0.03586033343818811,0.4160452558498329
155,SC,511,61,4327,19.228778189161886,70892.98163244699,1971,1000,2014-01-01,0.10110803324099724,0.03066877720617333,0.5073566717402334
205,LA,554,70,4159,19.17769286490401,74241.47524447663,1856,905,2014-01-01,0.11106655974338413,0.04109863672814756,0.48760775862068967
251,MN,749,74,6274,18.167801683816613,69225.96696913002,2949,1327,2014-01-01,0.10193249863908546,0.03415895481763745,0.4499830451000339
629,NJ,1678,259,13422,16.763761705968598,86078.5705111136,6017,2846,2014-01-01,0.10495371528646485,0.03934200650487866,0.47299318597307627
25,DC,161,29,986,15.11354788069074,91441.66758241758,483,154,2014-01-01,0.1340549542048293,0.020815986677768527,0.3188405797101449
168,OR,685,68,4453,17.55114354395605,66603.37568337911,2101,811,2014-01-01,0.12746557499069594,0.03126163007071083,0.3860066634935745
470,VA,1462,161,10432,18.211731514716437,80317.9331787509,4520,2445,2014-01-01,0.11672654690618763,0.0375249500998004,0.540929203539823
63,RI,173,22,1553,17.694496644295292,69342.8866442953,697,346,2014-01-01,0.09552733296521258,0.034787410270568746,0.4964131994261119
158,KY,413,57,3396,19.427767969735143,68398.22609079447,1520,859,2014-01-01,0.10263419483101392,0.03926441351888668,0.5651315789473684
26,WY,131,12,866,19.784356775300164,71343.86831903944,383,200,2014-01-01,0.12657004830917876,0.025120772946859903,0.5221932114882507
67,NH,215,24,1696,18.689523809523795,75775.48728138529,770,385,2014-01-01,0.10739260739260739,0.033466533466533464,0.5
407,MI,1079,108,8964,18.357033037872682,68796.41230136987,4308,1897,2014-01-01,0.1021973858685357,0.03854896760750142,0.4403435468895079
253,NV,662,70,4874,17.98502015503875,72047.05148837209,2354,871,2014-01-01,0.11298856460146783,0.04318143027820447,0.3700084961767205
154,WI,570,50,4550,18.626584972589498,65816.0366494679,2153,948,2014-01-01,0.10706235912847484,0.028925619834710745,0.440315838365072
2436,CA,8238,1002,51084,16.756237269805013,78960.32974794967,24338,8949,2014-01-01,0.13126195028680687,0.03881453154875717,0.36769660613033117
204,CT,642,105,5370,16.806979615274177,81872.0008211312,2413,1070,2014-01-01,0.10156620787850024,0.0322733744660655,0.44343141317861584
31,MT,151,9,1072,19.096087551299593,64098.36618331052,491,240,2014-01-01,0.11955661124307206,0.02454473475851148,0.48879837067209775
432,NC,1297,160,9666,18.617267929214524,71815.53247283453,4233,2209,2014-01-01,0.11224578104716573,0.037386412808308095,0.5218521143397118
25,VT,81,12,708,19.604077490774912,65061.91016605167,373,169,2014-01-01,0.09806295399515738,0.03026634382566586,0.45308310991957107
336,MD,1089,135,8218,17.52695183321351,81408.8681991373,3650,1914,2014-01-01,0.1113724688075271,0.03436285538965023,0.5243835616438356
37,DE,116,16,959,19.19795763993949,72286.65184568835,414,247,2014-01-01,0.10283687943262411,0.03280141843971631,0.5966183574879227
243,MO,671,98,5693,19.121565469904983,67332.70576293558,2535,1253,2014-01-01,0.10007457121551082,0.036241610738255034,0.4942800788954635
565,IL,1701,239,14370,17.58864769422519,77274.26989925219,6701,2927,2014-01-01,0.1008,0.03348148148148148,0.4368004775406656
326,WA,1081,129,7878,17.69525205158266,74114.71921453693,3562,1556,2014-01-01,0.11482897811769704,0.034629275547057574,0.4368332397529478
214,AL,528,63,4478,19.8851087673039,69047.91334871456,1935,1099,2014-01-01,0.09994321408290743,0.04050728752602688,0.5679586563307494
498,OH,1348,183,11802,19.238403445262765,66638.01733616278,5248,2763,2014-01-01,0.09746222254356156,0.03600607331357096,0.5264862804878049
75,NM,253,18,1994,19.6210460863204,70356.10498902708,971,396,2014-01-01,0.10811965811965812,0.03205128205128205,0.407826982492276
505,PA,1448,207,12517,18.957321704046528,70046.69324789371,5504,2923,2014-01-01,0.09865776384819785,0.034407576480207126,0.5310683139534884
27,SD,97,9,764,20.455928853754934,59100.76466403162,360,146,2014-01-01,0.10813823857302118,0.030100334448160536,0.40555555555555556
1327,NY,3846,558,29918,16.539067409526705,78001.17953922604,14079,5844,2014-01-01,0.10788521417150551,0.037224045555275045,0.41508629874280845
971,TX,3554,399,28076,19.00089787525701,80367.44842726839,13388,5579,2014-01-01,0.1076969696969697,0.029424242424242426,0.4167164625037347
51,WV,207,26,1926,19.895774218154084,66764.74499618611,797,514,2014-01-01,0.09366515837104072,0.023076923076923078,0.644918444165621
456,GA,1458,178,11285,18.66689868421049,75611.03012368424,5169,2431,2014-01-01,0.10899304776855798,0.034088360618972864,0.4703037337976398
338,MA,1060,181,8011,16.715410932721735,80945.6429472477,3443,1789,2014-01-01,0.1105318039624609,0.03524504692387904,0.5196049956433343
130,KS,385,46,3286,19.035344745601513,68912.15871136473,1408,695,2014-01-01,0.10007798284377437,0.03379256563556018,0.49360795454545453
250,CO,1083,87,7330,18.1406127003449,74902.61549604381,3393,1536,2014-01-01,0.12377142857142857,0.02857142857142857,0.4526967285587975
1145,FL,2980,407,23534,18.370196290867405,69960.22824612838,11163,4528,2014-01-01,0.10617829402123566,0.040796693508159336,0.40562572785093615
31,AK,129,11,965,18.636354515050158,78165.37242474918,417,181,2014-01-01,0.11355633802816902,0.027288732394366196,0.434052757793765
109,AR,294,37,2744,19.85086378737541,66522.46135658915,1243,563,2014-01-01,0.09233668341708542,0.034233668341708545,0.45293644408688655
139,OK,380,38,3181,19.338168083097266,70277.12196883852,1393,725,2014-01-01,0.10165864098448368,0.0371856607811664,0.5204594400574301
118,UT,445,32,2457,18.80997004194127,74244.46428999401,1110,559,2014-01-01,0.14580602883355176,0.03866317169069463,0.5036036036036036
99,HI,323,25,1794,19.118244147157196,68559.26894648829,804,392,2014-01-01,0.14413208389112003,0.04417670682730924,0.48756218905472637
784,AZ,2469,340,14045,19.04282783505157,73306.86635360826,6652,3048,2015-01-01,0.13998185735344143,0.04444948406848849,0.4582080577269994
296,SC,1172,183,7727,20.522337816455696,73892.52629351265,3182,1874,2015-01-01,0.12497334186393687,0.03156323309874173,0.5889377749842866
430,LA,1162,177,7485,20.213607296979195,75554.8025343272,3294,1804,2015-01-01,0.12556732223903178,0.04646639291117355,0.5476624165148756
590,MN,1872,294,11311,19.473035004487755,71754.53290421847,5095,2704,2015-01-01,0.13307741522712732,0.04194213407265231,0.5307163886162904
1132,NJ,3546,670,23260,17.83127147087859,87641.23390259955,10092,5103,2015-01-01,0.12395134228187919,0.03956935123042506,0.5056480380499405
48,DC,288,68,1586,16.490258449304182,90472.26621272365,716,290,2015-01-01,0.14472361809045226,0.024120603015075376,0.40502793296089384
356,OR,1383,210,7446,18.56500606796116,67368.87818365695,3403,1541,2015-01-01,0.14720596061734964,0.037892496008515165,0.45283573317660886
1041,VA,2985,460,17970,19.416845341976217,83376.41781517492,7665,4368,2015-01-01,0.13292661204132525,0.046357320983256144,0.5698630136986301
127,RI,418,85,2765,18.276131307650573,73885.75743353227,1228,615,2015-01-01,0.12312223858615612,0.0374079528718704,0.500814332247557
291,KY,906,129,6179,20.391084630350207,67890.36060797665,2608,1504,2015-01-01,0.1207195203197868,0.03877415056628914,0.5766871165644172
68,WY,257,33,1408,20.727977777777767,80703.3783,595,305,2015-01-01,0.14552661381653453,0.03850509626274066,0.5126050420168067
88,NH,471,82,3117,19.5413627546072,80707.022900097,1386,676,2015-01-01,0.1253326237360298,0.023416711016498136,0.48773448773448774
819,MI,2463,379,16730,19.568607030430186,70946.25401713885,7741,3695,2015-01-01,0.12078858319846991,0.04016477857878476,0.4773285105283555
567,NV,1546,249,8428,19.282437542201222,70514.8096978393,4250,1674,2015-01-01,0.1432808155699722,0.052548656163113994,0.39388235294117646
393,WI,1290,180,8343,19.851983398092546,67925.16752207703,3829,1833,2015-01-01,0.12639623750734863,0.03850676072898295,0.4787150692086707
4699,CA,16683,2852,84862,17.685179361771734,82574.2566702258,41390,16677,2015-01-01,0.1529203637163599,0.04307215663269048,0.4029234114520416
374,CT,1332,286,9703,18.016922712185877,89297.21779042199,4227,2100,2015-01-01,0.11389482684908081,0.03197947840957674,0.49680624556423
80,MT,325,43,1785,20.21239242685026,63970.08078313254,796,366,2015-01-01,0.14554411106135243,0.035826242722794444,0.45979899497487436
934,NC,2783,461,17516,19.63690064794816,73603.94401561725,7649,4389,2015-01-01,0.12828431824467595,0.04305337881441873,0.5738004967969669
44,VT,160,39,1356,21.017186098654708,65840.87475336323,588,304,2015-01-01,0.10006253908692933,0.027517198248905566,0.5170068027210885
782,MD,2385,343,14758,18.732565377349097,84004.54462563389,6469,3588,2015-01-01,0.1305561637836654,0.04280709437267353,0.5546452311021797
90,DE,273,35,1798,19.256295399515736,75902.77971751413,800,439,2015-01-01,0.12431693989071038,0.040983606557377046,0.54875
511,MO,1575,230,10072,20.1930780713539,69919.90009255112,4379,2320,2015-01-01,0.12713916693574426,0.04124959638359703,0.5298013245033113
1042,IL,3715,681,25791,18.86281309297909,78629.23232862903,11613,5251,2015-01-01,0.11895994108040603,0.03336642223574242,0.4521656763971411
604,WA,2464,359,13365,18.98142088146241,75661.85579342827,6020,2897,2015-01-01,0.14673654121010005,0.03596950929013816,0.4812292358803987
127,MS,278,1,3347,21.006968762051685,68055.83449672195,1719,874,2015-01-01,0.07407407407407407,0.03383959499067413,0.508435136707388
487,AL,1242,193,7901,21.127026369927083,69693.52452590238,3376,1971,2015-01-01,0.12643795174590247,0.04957752214191184,0.5838270142180095
576,IN,1504,6,10833,20.34798045154184,68851.07598568282,4599,2665,2015-01-01,0.11641767938694945,0.04458549423329979,0.5794737986518809
1082,OH,3132,471,21507,20.559510212588606,68163.02089968043,9173,5221,2015-01-01,0.11957849725106903,0.04131032376298106,0.5691703913659654
203,NM,566,79,3494,21.071518502764796,71447.07527435136,1589,762,2015-01-01,0.13035467526485492,0.04675264854905573,0.47954688483322844
1151,PA,3180,601,22544,20.003832587347183,73502.44337096666,9508,5461,2015-01-01,0.11573737079633134,0.04189110496433251,0.5743584350021035
76,SD,240,42,1241,21.81164071856288,64430.57805988023,550,285,2015-01-01,0.150093808630394,0.047529706066291436,0.5181818181818182
2928,NY,7557,1629,51628,17.532206299491765,80748.84994001887,23396,10448,2015-01-01,0.11855605409306266,0.04593517617897148,0.44657206360061547
2351,TX,8092,1368,50940,20.116827103207765,82689.46887316635,23547,11152,2015-01-01,0.1289541202530637,0.03746553839779446,0.4736059795303011
139,WV,485,83,3192,21.252173252279622,67811.37746200607,1182,792,2015-01-01,0.12439086945370607,0.03565016670941267,0.6700507614213198
886,GA,3244,501,20756,19.722858054000426,75966.709976614,9392,4719,2015-01-01,0.12778193563634932,0.03489975184149368,0.5024488926746167
672,MA,2225,446,14184,17.695680075622274,81980.48018275392,6374,3147,2015-01-01,0.12694699606321674,0.038340845552576025,0.4937245058048321
221,KS,848,157,5793,20.40170503211991,70378.72343147751,2413,1323,2015-01-01,0.12081493090183787,0.03148596666191765,0.5482801491918773
552,CO,2524,290,13029,18.9822816497574,76303.13458756065,5968,3100,2015-01-01,0.1539493748093931,0.033668801463860934,0.5194369973190348
2361,FL,6709,1248,42484,19.432558965081732,72315.26567259448,20396,8901,2015-01-01,0.1270595810764744,0.0447142153706299,0.4364090998234948
72,AK,276,48,1523,19.424339622641508,78401.27236897276,650,304,2015-01-01,0.14382490880667015,0.03751954142782699,0.4676923076923077
254,AR,698,133,4809,20.977468274111693,66821.94867703048,2039,1113,2015-01-01,0.11842551747539871,0.04309467254835426,0.5458558116723884
321,OK,857,129,5837,20.307986391129045,72505.7543296371,2597,1371,2015-01-01,0.11996080627099664,0.04493281075027995,0.5279168271082018
247,UT,870,95,4081,19.59963681241184,72810.83794428773,1803,1033,2015-01-01,0.1643680332514642,0.04666540714150765,0.5729339988907377
191,HI,550,97,3037,20.11859817570812,72148.85533845414,1402,681,2015-01-01,0.14193548387096774,0.04929032258064516,0.48573466476462196
1459,AZ,3835,680,18522,18.90716880137638,76189.0328359778,7881,2581,2016-01-01,0.15655617243631614,0.059560744611365124,0.32749651059510215
581,SC,1850,357,10423,20.13433982881078,72656.94634559359,3936,1556,2016-01-01,0.14003481946862464,0.04397850276284914,0.3953252032520325
833,LA,1736,370,9526,19.8536170212766,77806.38509327984,3636,1349,2016-01-01,0.13926995587645408,0.06682711592458884,0.371012101210121
1162,MN,2743,554,14542,19.32717422372354,74117.08577217821,5596,2103,2016-01-01,0.1443608231145729,0.061154676069680544,0.37580414581844174
2235,NJ,5212,1316,30378,17.603341724354937,90159.45971745013,11745,4146,2016-01-01,0.13315960246289058,0.05710124932934774,0.35300127713920815
110,DC,432,107,1894,15.759102296450937,101341.14134655532,761,197,2016-01-01,0.1698780967361384,0.04325599685410932,0.2588699080157687
520,OR,2062,476,9054,18.485877061469274,71024.8745020347,3496,1173,2016-01-01,0.1702443857331572,0.042932628797886396,0.3355263157894737
